-Point(698,304) in cluster: 4
-Point(68,102) in cluster: 1
-Point(122,245) in cluster: 1
-Point(876,105) in cluster: 4
-Point(391,604) in cluster: 2
-Point(390,466) in cluster: 2
-Point(844,119) in cluster: 4
-Point(86,918) in cluster: 3
-Point(451,319) in cluster: 1
-Point(135,514) in cluster: 2
-Point(559,221) in cluster: 4
-Point(437,907) in cluster: 3
-Point(246,735) in cluster: 3
-Point(277,607) in cluster: 2
-Point(173,940) in cluster: 3
-Point(41,565) in cluster: 2
-Point(528,363) in cluster: 4
-Point(27,66) in cluster: 1
-Point(131,969) in cluster: 3
-Point(90,423) in cluster: 2
-Point(21,658) in cluster: 2
-Point(407,331) in cluster: 1
-Point(478,734) in cluster: 3
-Point(373,143) in cluster: 1
-Point(327,145) in cluster: 1
-Point(107,827) in cluster: 3
-Point(293,576) in cluster: 2
-Point(186,725) in cluster: 3
-Point(894,972) in cluster: 0
-Point(720,511) in cluster: 4
-Point(721,396) in cluster: 4
-Point(924,848) in cluster: 0
-Point(326,581) in cluster: 2
-Point(797,881) in cluster: 0
-Point(427,130) in cluster: 1
-Point(435,623) in cluster: 2
-Point(611,376) in cluster: 4
-Point(456,813) in cluster: 3
-Point(858,818) in cluster: 0
-Point(945,472) in cluster: 4
-Point(387,314) in cluster: 1
-Point(849,106) in cluster: 4
-Point(922,286) in cluster: 4
-Point(514,46) in cluster: 1
-Point(358,22) in cluster: 1
-Point(870,724) in cluster: 0
-Point(181,113) in cluster: 1
-Point(170,505) in cluster: 2
-Point(687,123) in cluster: 4
-Point(625,44) in cluster: 4
-Point(217,297) in cluster: 1
-Point(929,805) in cluster: 0
-Point(793,789) in cluster: 0
-Point(830,885) in cluster: 0
-Point(305,34) in cluster: 1
-Point(688,403) in cluster: 4
-Point(362,51) in cluster: 1
-Point(534,564) in cluster: 2
-Point(67,251) in cluster: 1
-Point(732,773) in cluster: 0
-Point(747,926) in cluster: 0
-Point(386,919) in cluster: 3
-Point(381,990) in cluster: 3
-Point(796,33) in cluster: 4
-Point(658,556) in cluster: 0
-Point(656,172) in cluster: 4
-Point(340,292) in cluster: 1
-Point(603,485) in cluster: 4
-Point(442,88) in cluster: 1
-Point(387,849) in cluster: 3
-Point(187,335) in cluster: 2
-Point(536,205) in cluster: 4
-Point(642,6) in cluster: 4
-Point(11,953) in cluster: 3
-Point(15,955) in cluster: 3
-Point(283,578) in cluster: 2
-Point(540,286) in cluster: 4
-Point(556,338) in cluster: 4
-Point(833,163) in cluster: 4
-Point(383,702) in cluster: 3
-Point(900,752) in cluster: 0
-Point(104,82) in cluster: 1
-Point(320,860) in cluster: 3
-Point(276,444) in cluster: 2
-Point(439,845) in cluster: 3
-Point(510,61) in cluster: 1
-Point(631,69) in cluster: 4
-Point(739,601) in cluster: 0
-Point(166,206) in cluster: 1
-Point(826,980) in cluster: 0
-Point(903,626) in cluster: 0
-Point(673,419) in cluster: 4
-Point(41,474) in cluster: 2
-Point(678,87) in cluster: 4
-Point(524,891) in cluster: 3
-Point(875,813) in cluster: 0
-Point(715,667) in cluster: 0
-Point(438,50) in cluster: 1
-Point(515,29) in cluster: 1
-Point(84,214) in cluster: 1
-Point(925,721) in cluster: 0
-Point(57,293) in cluster: 1
-Point(977,179) in cluster: 4
-Point(577,208) in cluster: 4
-Point(717,541) in cluster: 0
-Point(423,297) in cluster: 1
-Point(348,414) in cluster: 2
-Point(592,473) in cluster: 4
-Point(609,898) in cluster: 0
-Point(300,30) in cluster: 1
-Point(731,743) in cluster: 0
-Point(415,151) in cluster: 1
-Point(89,426) in cluster: 2
-Point(30,510) in cluster: 2
-Point(580,998) in cluster: 3
-Point(964,788) in cluster: 0
-Point(733,468) in cluster: 4
-Point(27,931) in cluster: 3
-Point(624,691) in cluster: 0
-Point(358,123) in cluster: 1
-Point(9,863) in cluster: 3
-Point(284,457) in cluster: 2
-Point(439,359) in cluster: 2
-Point(788,950) in cluster: 0
-Point(281,921) in cluster: 3
-Point(239,311) in cluster: 1
-Point(775,464) in cluster: 4
-Point(910,456) in cluster: 4
-Point(245,911) in cluster: 3
-Point(820,304) in cluster: 4
-Point(445,732) in cluster: 3
-Point(756,196) in cluster: 4
-Point(315,334) in cluster: 1
-Point(370,28) in cluster: 1
-Point(135,658) in cluster: 2
-Point(908,373) in cluster: 4
-Point(288,459) in cluster: 2
-Point(326,733) in cluster: 3
-Point(693,643) in cluster: 0
-Point(187,261) in cluster: 1
-Point(325,419) in cluster: 2
-Point(531,892) in cluster: 3
-Point(207,564) in cluster: 2
-Point(502,364) in cluster: 4
-Point(28,139) in cluster: 1
-Point(758,245) in cluster: 4
-Point(864,802) in cluster: 0
-Point(286,822) in cluster: 3
-Point(829,71) in cluster: 4
-Point(435,230) in cluster: 1
-Point(969,948) in cluster: 0
-Point(903,933) in cluster: 0
-Point(591,82) in cluster: 4
-Point(895,276) in cluster: 4
-Point(270,953) in cluster: 3
-Point(974,790) in cluster: 0
-Point(125,103) in cluster: 1
-Point(524,326) in cluster: 4
-Point(902,721) in cluster: 0
-Point(348,588) in cluster: 2
-Point(533,351) in cluster: 4
-Point(711,379) in cluster: 4
-Point(799,100) in cluster: 4
-Point(217,629) in cluster: 2
-Point(498,768) in cluster: 3
-Point(130,406) in cluster: 2
-Point(817,298) in cluster: 4
-Point(849,466) in cluster: 4
-Point(483,990) in cluster: 3
-Point(57,468) in cluster: 2
-Point(769,331) in cluster: 4
-Point(43,394) in cluster: 2
-Point(731,899) in cluster: 0
-Point(939,209) in cluster: 4
-Point(823,70) in cluster: 4
-Point(658,973) in cluster: 0
-Point(203,603) in cluster: 2
-Point(752,732) in cluster: 0
-Point(755,707) in cluster: 0
-Point(559,903) in cluster: 3
-Point(861,967) in cluster: 0
-Point(323,507) in cluster: 2
-Point(399,668) in cluster: 3
-Point(281,588) in cluster: 2
-Point(210,720) in cluster: 3
-Point(88,327) in cluster: 2
-Point(145,908) in cluster: 3
-Point(831,134) in cluster: 4
-Point(742,455) in cluster: 4
-Point(177,933) in cluster: 3
-Point(408,44) in cluster: 1
-Point(127,96) in cluster: 1
-Point(453,848) in cluster: 3
-Point(931,171) in cluster: 4
-Point(957,48) in cluster: 4
-Point(373,966) in cluster: 3
-Point(385,404) in cluster: 2
-Point(208,226) in cluster: 1
-Point(645,765) in cluster: 0
-Point(25,665) in cluster: 2
-Point(809,897) in cluster: 0
-Point(353,879) in cluster: 3
-Point(925,534) in cluster: 0
-Point(258,612) in cluster: 2
-Point(711,218) in cluster: 4
-Point(965,825) in cluster: 0
-Point(229,793) in cluster: 3
-Point(589,248) in cluster: 4
-Point(639,199) in cluster: 4
-Point(806,731) in cluster: 0
-Point(521,336) in cluster: 4
-Point(54,11) in cluster: 1
-Point(761,233) in cluster: 4
-Point(447,459) in cluster: 2
-Point(99,523) in cluster: 2
-Point(830,323) in cluster: 4
-Point(687,436) in cluster: 4
-Point(850,518) in cluster: 0
-Point(73,453) in cluster: 2
-Point(921,161) in cluster: 4
-Point(504,903) in cluster: 3
-Point(322,795) in cluster: 3
-Point(552,245) in cluster: 4
-Point(830,943) in cluster: 0
-Point(786,581) in cluster: 0
-Point(533,288) in cluster: 4
-Point(11,360) in cluster: 2
-Point(268,735) in cluster: 3
-Point(302,928) in cluster: 3
-Point(236,247) in cluster: 1
-Point(950,619) in cluster: 0
-Point(97,196) in cluster: 1
-Point(757,911) in cluster: 0
-Point(650,602) in cluster: 0
-Point(404,378) in cluster: 2
-Point(291,403) in cluster: 2
-Point(816,452) in cluster: 4
-Point(633,806) in cluster: 0
-Point(672,488) in cluster: 4
-Point(817,899) in cluster: 0
-Point(396,536) in cluster: 2
-Point(21,969) in cluster: 3
-Point(737,986) in cluster: 0
-Point(387,425) in cluster: 2
-Point(860,685) in cluster: 0
-Point(440,7) in cluster: 1
-Point(948,350) in cluster: 4
-Point(125,204) in cluster: 1
-Point(429,440) in cluster: 2
-Point(232,566) in cluster: 2
-Point(343,249) in cluster: 1
-Point(545,837) in cluster: 3
-Point(223,126) in cluster: 1
-Point(11,223) in cluster: 1
-Point(345,30) in cluster: 1
-Point(397,58) in cluster: 1
-Point(251,966) in cluster: 3
-Point(435,454) in cluster: 2
-Point(981,815) in cluster: 0
-Point(306,390) in cluster: 2
-Point(564,587) in cluster: 0
-Point(762,871) in cluster: 0
-Point(453,740) in cluster: 3
-Point(64,330) in cluster: 2
-Point(820,737) in cluster: 0
-Point(632,415) in cluster: 4
-Point(113,48) in cluster: 1
-Point(710,938) in cluster: 0
-Point(414,530) in cluster: 2
-Point(413,517) in cluster: 2
-Point(988,978) in cluster: 0
-Point(422,179) in cluster: 1
-Point(30,714) in cluster: 2
-Point(806,638) in cluster: 0
-Point(544,363) in cluster: 4
-Point(251,865) in cluster: 3
-Point(185,227) in cluster: 1
-Point(439,423) in cluster: 2
-Point(802,556) in cluster: 0
-Point(503,627) in cluster: 3
-Point(945,10) in cluster: 4
-Point(216,981) in cluster: 3
-Point(696,953) in cluster: 0
-Point(304,760) in cluster: 3
-Point(574,788) in cluster: 0
-Point(486,24) in cluster: 1
-Point(434,125) in cluster: 1
-Point(326,992) in cluster: 3
-Point(243,889) in cluster: 3
-Point(994,537) in cluster: 0
-Point(296,285) in cluster: 1
-Point(739,282) in cluster: 4
-Point(8,107) in cluster: 1
-Point(993,199) in cluster: 4
-Point(781,102) in cluster: 4
-Point(311,26) in cluster: 1
-Point(96,710) in cluster: 2
-Point(895,382) in cluster: 4
-Point(770,178) in cluster: 4
-Point(687,72) in cluster: 4
-Point(162,6) in cluster: 1
-Point(361,710) in cluster: 3
-Point(326,643) in cluster: 2
-Point(900,683) in cluster: 0
-Point(719,403) in cluster: 4
-Point(668,246) in cluster: 4
-Point(994,129) in cluster: 4
-Point(862,943) in cluster: 0
-Point(31,306) in cluster: 2
-Point(939,537) in cluster: 0
-Point(562,430) in cluster: 4
-Point(963,502) in cluster: 4
-Point(677,260) in cluster: 4
-Point(335,142) in cluster: 1
-Point(526,622) in cluster: 0
-Point(72,750) in cluster: 3
-Point(292,559) in cluster: 2
-Point(24,896) in cluster: 3
-Point(458,72) in cluster: 1
-Point(372,507) in cluster: 2
-Point(654,891) in cluster: 0
-Point(308,189) in cluster: 1
-Point(189,957) in cluster: 3
-Point(85,801) in cluster: 3
-Point(870,612) in cluster: 0
-Point(198,122) in cluster: 1
-Point(436,516) in cluster: 2
-Point(587,948) in cluster: 0
-Point(49,996) in cluster: 3
-Point(857,347) in cluster: 4
-Point(13,627) in cluster: 2
-Point(58,386) in cluster: 2
-Point(380,997) in cluster: 3
-Point(899,772) in cluster: 0
-Point(677,400) in cluster: 4
-Point(825,547) in cluster: 0
-Point(983,51) in cluster: 4
-Point(805,90) in cluster: 4
-Point(382,240) in cluster: 1
-Point(810,271) in cluster: 4
-Point(804,128) in cluster: 4
-Point(870,454) in cluster: 4
-Point(874,195) in cluster: 4
-Point(937,65) in cluster: 4
-Point(516,844) in cluster: 3
-Point(512,70) in cluster: 1
-Point(834,142) in cluster: 4
-Point(859,835) in cluster: 0
-Point(279,154) in cluster: 1
-Point(27,125) in cluster: 1
-Point(35,219) in cluster: 1
-Point(213,337) in cluster: 2
-Point(473,649) in cluster: 3
-Point(211,117) in cluster: 1
-Point(953,470) in cluster: 4
-Point(69,523) in cluster: 2
-Point(79,424) in cluster: 2
-Point(494,787) in cluster: 3
-Point(112,765) in cluster: 3
-Point(137,560) in cluster: 2
-Point(139,580) in cluster: 2
-Point(629,291) in cluster: 4
-Point(659,538) in cluster: 0
-Point(584,211) in cluster: 4
-Point(203,720) in cluster: 3
-Point(846,563) in cluster: 0
-Point(455,825) in cluster: 3
-Point(931,805) in cluster: 0
-Point(463,249) in cluster: 1
-Point(943,605) in cluster: 0
-Point(395,911) in cluster: 3
-Point(869,397) in cluster: 4
-Point(940,333) in cluster: 4
-Point(299,62) in cluster: 1
-Point(395,1000) in cluster: 3
-Point(570,242) in cluster: 4
-Point(172,98) in cluster: 1
-Point(180,791) in cluster: 3
-Point(279,497) in cluster: 2
-Point(445,60) in cluster: 1
-Point(243,702) in cluster: 3
-Point(124,128) in cluster: 1
-Point(158,615) in cluster: 2
-Point(839,558) in cluster: 0
-Point(217,229) in cluster: 1
-Point(698,796) in cluster: 0
-Point(926,364) in cluster: 4
-Point(877,148) in cluster: 4
-Point(344,396) in cluster: 2
-Point(313,249) in cluster: 1
-Point(474,667) in cluster: 3
-Point(102,469) in cluster: 2
-Point(41,977) in cluster: 3
-Point(966,457) in cluster: 4
-Point(492,272) in cluster: 1
-Point(764,221) in cluster: 4
-Point(46,498) in cluster: 2
-Point(877,526) in cluster: 0
-Point(920,925) in cluster: 0
-Point(837,543) in cluster: 0
-Point(888,40) in cluster: 4
-Point(657,222) in cluster: 4
-Point(542,35) in cluster: 1
-Point(352,536) in cluster: 2
-Point(865,671) in cluster: 0
-Point(320,998) in cluster: 3
-Point(411,283) in cluster: 1
-Point(286,899) in cluster: 3
-Point(999,826) in cluster: 0
-Point(643,722) in cluster: 0
-Point(751,843) in cluster: 0
-Point(117,359) in cluster: 2
-Point(352,836) in cluster: 3
-Point(823,720) in cluster: 0
-Point(421,671) in cluster: 3
-Point(990,407) in cluster: 4
-Point(975,265) in cluster: 4
-Point(834,214) in cluster: 4
-Point(945,450) in cluster: 4
-Point(119,559) in cluster: 2
-Point(844,189) in cluster: 4
-Point(566,133) in cluster: 4
-Point(854,840) in cluster: 0
-Point(676,425) in cluster: 4
-Point(25,576) in cluster: 2
-Point(604,998) in cluster: 0
-Point(581,512) in cluster: 4
-Point(112,483) in cluster: 2
-Point(693,48) in cluster: 4
-Point(124,668) in cluster: 2
-Point(753,332) in cluster: 4
-Point(661,425) in cluster: 4
-Point(139,454) in cluster: 2
-Point(147,246) in cluster: 1
-Point(679,601) in cluster: 0
-Point(812,124) in cluster: 4
-Point(312,178) in cluster: 1
-Point(439,483) in cluster: 2
-Point(742,133) in cluster: 4
-Point(156,638) in cluster: 2
-Point(388,848) in cluster: 3
-Point(554,708) in cluster: 0
-Point(939,718) in cluster: 0
-Point(893,89) in cluster: 4
-Point(414,831) in cluster: 3
-Point(690,175) in cluster: 4
-Point(243,189) in cluster: 1
-Point(242,263) in cluster: 1
-Point(517,649) in cluster: 3
-Point(445,416) in cluster: 2
-Point(488,423) in cluster: 2
-Point(432,870) in cluster: 3
-Point(143,76) in cluster: 1
-Point(444,814) in cluster: 3
-Point(324,210) in cluster: 1
-Point(618,789) in cluster: 0
-Point(429,657) in cluster: 3
-Point(873,850) in cluster: 0
-Point(532,205) in cluster: 4
-Point(376,407) in cluster: 2
-Point(333,505) in cluster: 2
-Point(967,446) in cluster: 4
-Point(458,520) in cluster: 2
-Point(491,201) in cluster: 1
-Point(959,224) in cluster: 4
-Point(965,850) in cluster: 0
-Point(245,324) in cluster: 1
-Point(645,405) in cluster: 4
-Point(736,488) in cluster: 4
-Point(549,111) in cluster: 4
-Point(763,108) in cluster: 4
-Point(745,730) in cluster: 0
-Point(766,74) in cluster: 4
-Point(564,702) in cluster: 0
-Point(193,704) in cluster: 3
-Point(639,742) in cluster: 0
-Point(332,768) in cluster: 3
-Point(366,403) in cluster: 2
-Point(11,899) in cluster: 3
-Point(97,251) in cluster: 1
-Point(175,613) in cluster: 2
-Point(766,238) in cluster: 4
-Point(538,666) in cluster: 0
-Point(414,738) in cluster: 3
-Point(124,389) in cluster: 2
-Point(33,397) in cluster: 2
-Point(165,385) in cluster: 2
-Point(581,603) in cluster: 0
-Point(213,725) in cluster: 3
-Point(478,33) in cluster: 1
-Point(128,567) in cluster: 2
-Point(926,64) in cluster: 4
-Point(185,789) in cluster: 3
-Point(650,420) in cluster: 4
-Point(988,31) in cluster: 4
-Point(280,51) in cluster: 1
-Point(593,627) in cluster: 0
-Point(991,314) in cluster: 4
-Point(862,516) in cluster: 0
-Point(8,631) in cluster: 2
-Point(347,607) in cluster: 2
-Point(766,444) in cluster: 4
-Point(816,6) in cluster: 4
-Point(521,31) in cluster: 1
-Point(4,490) in cluster: 2
-Point(677,313) in cluster: 4
-Point(730,984) in cluster: 0
-Point(887,992) in cluster: 0
-Point(709,331) in cluster: 4
-Point(117,695) in cluster: 2
-Point(746,336) in cluster: 4
-Point(290,33) in cluster: 1
-Point(267,556) in cluster: 2
-Point(806,207) in cluster: 4
-Point(951,593) in cluster: 0
-Point(219,812) in cluster: 3
-Point(349,647) in cluster: 2
-Point(235,972) in cluster: 3
-Point(353,231) in cluster: 1
-Point(829,19) in cluster: 4
-Point(16,514) in cluster: 2
-Point(164,709) in cluster: 3
-Point(381,69) in cluster: 1
-Point(289,268) in cluster: 1
-Point(928,181) in cluster: 4
-Point(602,488) in cluster: 4
-Point(853,606) in cluster: 0
-Point(301,126) in cluster: 1
-Point(210,341) in cluster: 2
-Point(180,987) in cluster: 3
-Point(274,409) in cluster: 2
-Point(918,116) in cluster: 4
-Point(857,411) in cluster: 4
-Point(323,201) in cluster: 1
-Point(548,893) in cluster: 3
-Point(822,933) in cluster: 0
-Point(318,490) in cluster: 2
-Point(418,481) in cluster: 2
-Point(301,975) in cluster: 3
-Point(52,797) in cluster: 3
-Point(217,945) in cluster: 3
-Point(371,592) in cluster: 2
-Point(982,866) in cluster: 0
-Point(420,156) in cluster: 1
-Point(439,59) in cluster: 1
-Point(219,594) in cluster: 2
-Point(386,965) in cluster: 3
-Point(242,772) in cluster: 3
-Point(460,642) in cluster: 3
-Point(37,598) in cluster: 2
-Point(676,182) in cluster: 4
-Point(646,69) in cluster: 4
-Point(633,785) in cluster: 0
-Point(624,507) in cluster: 4
-Point(240,558) in cluster: 2
-Point(892,796) in cluster: 0
-Point(466,51) in cluster: 1
-Point(831,625) in cluster: 0
-Point(311,843) in cluster: 3
-Point(464,57) in cluster: 1
-Point(562,552) in cluster: 0
-Point(841,450) in cluster: 4
-Point(191,935) in cluster: 3
-Point(830,42) in cluster: 4
-Point(769,15) in cluster: 4
-Point(409,551) in cluster: 2
-Point(156,364) in cluster: 2
-Point(326,204) in cluster: 1
-Point(813,70) in cluster: 4
-Point(854,496) in cluster: 4
-Point(233,428) in cluster: 2
-Point(473,149) in cluster: 1
-Point(491,8) in cluster: 1
-Point(764,478) in cluster: 4
-Point(513,476) in cluster: 2
-Point(157,62) in cluster: 1
-Point(675,29) in cluster: 4
-Point(704,998) in cluster: 0
-Point(27,59) in cluster: 1
-Point(460,950) in cluster: 3
-Point(538,444) in cluster: 4
-Point(613,646) in cluster: 0
-Point(424,295) in cluster: 1
-Point(836,901) in cluster: 0
-Point(450,453) in cluster: 2
